Mon Dec 19 01:45:22 2016    ./stats/16-12-18_win

         22426 function calls (21868 primitive calls) in 4542.243 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21 4528.839  215.659 4528.839  215.659 {method 'acquire' of '_thread.lock' objects}
       22    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:135(<setcomp>)
     22/8    0.000    0.000    0.054    0.007 {built-in method builtins.__import__}
       18    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_compile.py:248(_optimize_charset)
        4    0.000    0.000    0.003    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1017(crop)
        5    0.000    0.000   11.382    2.276 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1623(save)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\spawn.py:140(get_preparation_data)
       16    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\reduction.py:101(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\BmpImagePlugin.py:232(_save)
      100    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffTags.py:26(__new__)
        1    0.000    0.000    0.294    0.294 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:128(combine_quadrants)
       94    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:406(cached)
      121    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:157(__getitem__)
     86/9    0.000    0.000    0.057    0.006 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
