Mon Dec 19 16:24:38 2016    ./stats/16-12-19_win_single_worker

         1724992490 function calls (1724992199 primitive calls) in 1815.913 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3001    0.004    0.000    0.023    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:350(preinit)
      853    0.004    0.000    0.004    0.000 {built-in method zlib.decompressobj}
     6003    0.004    0.000    0.029    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:538(formatMessage)
     6373    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
    13733    0.004    0.000    0.004    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\_binary.py:23(i8)
     4272    0.004    0.000    0.004    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:404(correct_path)
     3001    0.004    0.000    0.004    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\GifImagePlugin.py:45(_accept)
     3001    0.003    0.000    0.003    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:2233(_decompression_bomb_check)
     6003    0.003    0.000    0.005    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:35(_get_bothseps)
     3001    0.003    0.000    0.004    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1988(_check_size)
      853    0.003    0.000    0.035    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:86(_safe_zlib_decompress)
    12048    0.003    0.000    0.003    0.000 {built-in method _thread.get_ident}
     6005    0.003    0.000    0.003    0.000 {built-in method nt.getpid}
     3000    0.003    0.000    0.003    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:508(_accept)
