Mon Dec 19 10:35:29 2016    ./stats/16-12-18_win

         22431 function calls (21873 primitive calls) in 1512.356 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21 1508.059   71.812 1508.059   71.812 {method 'acquire' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\util.py:151(__init__)
       90    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        8    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\reduction.py:57(dump)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
       26    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:301(__setattr__)
        3    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:755(__init__)
       77    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       44    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.026    0.026 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:219(_repopulate_pool)
      101    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\re.py:160(match)
        4    0.000    0.000    0.099    0.025 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1264(paste)
        4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:120(load)
       60    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.019    0.019 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\connection.py:10(<module>)
      166    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\socket.py:81(<lambda>)
      165    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\socket.py:76(<lambda>)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.053    0.053 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:147(__init__)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
        1    0.000    0.000    0.002    0.002 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pickle.py:24(<module>)
      404    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1347(findCaller)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
     14/4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:429(_parse_sub)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
       18    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_compile.py:221(_compile_charset)
       46    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:81(add)
        7    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:213(__init__)
      271    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      286    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:613(find_spec)
        1    0.000    0.000    0.001    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\tarfile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pickle.py:180(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\subprocess.py:356(<module>)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
       58    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       50    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:465(normpath)
       32    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\random.py:220(_randbelow)
        1    0.000    0.000    3.116    3.116 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\JpegImagePlugin.py:581(_save)
        4    0.000    0.000    0.026    0.006 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\context.py:310(_Popen)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pickle.py:975(_Unpickler)
        1    0.000    0.000    0.002    0.002 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:155(save_images)
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:520(_new)
        1    0.000    0.000    0.003    0.003 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\importlib\util.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:197(split)
       10    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\genericpath.py:111(_splitext)
      331    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       23    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:752(load)
