Mon Dec 19 10:50:52 2016    ./stats/16-12-18_win

         22521 function calls (21963 primitive calls) in 668.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\socket.py:47(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        8    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\process.py:278(__reduce__)
       33    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       18    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_compile.py:248(_optimize_charset)
        4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\BmpImagePlugin.py:232(_save)
        4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1017(crop)
        1    0.000    0.000  668.278  668.278 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:71(start)
        5    0.000    0.000    1.391    0.278 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1623(save)
        1    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      100    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffTags.py:26(__new__)
       22    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:135(<setcomp>)
        2    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:547(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\subprocess.py:374(CalledProcessError)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
     86/9    0.000    0.000    0.057    0.006 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
  675/659    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       94    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:406(cached)
      121    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:157(__getitem__)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
       16    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\reduction.py:101(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        4    0.000    0.000    0.000    0.000 {method 'crop' of 'ImagingCore' objects}
       28    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
        1    0.000    0.000    0.022    0.022 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\connection.py:10(<module>)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
      271    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
        1    0.000    0.000    0.063    0.063 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:147(__init__)
        1    0.000    0.000    0.009    0.009 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\shutil.py:5(<module>)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       90    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      165    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\socket.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.new}
       26    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:301(__setattr__)
      404    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       55    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:197(split)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\process.py:71(__init__)
       62    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      166    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\socket.py:81(<lambda>)
        1    0.000    0.000    0.002    0.002 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pickle.py:24(<module>)
      101    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\re.py:160(match)
      286    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        4    0.000    0.000    0.044    0.011 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1264(paste)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:613(find_spec)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pickle.py:180(<listcomp>)
        1    0.000    0.000    0.028    0.028 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:219(_repopulate_pool)
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\util.py:151(__init__)
        7    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:213(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
       46    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:81(add)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
     14/4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:429(_parse_sub)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       77    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       24    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:520(_new)
       22    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       44    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\tarfile.py:30(<module>)
       11    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\genericpath.py:111(_splitext)
        8    0.000    0.000    0.002    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\reduction.py:57(dump)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
        4    0.000    0.000    0.027    0.007 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\context.py:310(_Popen)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:465(normpath)
        8    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\synchronize.py:101(__getstate__)
        6    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1347(findCaller)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
       50    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       32    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\random.py:220(_randbelow)
        1    0.000    0.000    0.003    0.003 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\importlib\util.py:1(<module>)
       18    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_compile.py:221(_compile_charset)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\subprocess.py:356(<module>)
       58    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:155(save_images)
        4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:120(load)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
       23    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:752(load)
        1    0.000    0.000    1.387    1.387 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\JpegImagePlugin.py:581(_save)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\JpegImagePlugin.py:287(_open)
        4    0.000    0.000    0.002    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_compile.py:531(compile)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\os.py:44(<listcomp>)
        6    0.000    0.000    0.107    0.018 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:1060(_wait_for_tstate_lock)
       23    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:151(register)
       14    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:51(__setitem__)
       12    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        4    0.000    0.000  666.573  166.643 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:261(wait)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pkgutil.py:1(<module>)
      100    0.000    0.000    0.000    0.000 <string>:12(__new__)
        3    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:755(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
        4    0.000    0.000    0.097    0.024 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\process.py:115(join)
        5    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1269(info)
       55    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      331    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\util.py:10(<module>)
        1    0.000    0.000    0.010    0.010 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\JpegImagePlugin.py:35(<module>)
