2017-01-17 14:45:14,395 - DEBUG	 - 5400	 - Worker	 - mosaic: 9/540 Match found at J:\Mosaic\database\outkast-4.png with a difference of 88
2017-01-17 14:45:14,540 - DEBUG	 - 6920	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:14,540 - DEBUG	 - 6920	 - Worker	 - mosaic: 9/540 Match found at J:\Mosaic\database\bob-dylan-19.png with a difference of 54
2017-01-17 14:45:14,851 - DEBUG	 - 8040	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:14,851 - DEBUG	 - 8040	 - Worker	 - mosaic: 10/513 Match found at J:\Mosaic\database\survivor-2.png with a difference of 31
2017-01-17 14:45:14,921 - DEBUG	 - 5400	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:14,921 - DEBUG	 - 5400	 - Worker	 - mosaic: 10/540 Match found at J:\Mosaic\database\derek-&-the-dominos-2.png with a difference of 51
2017-01-17 14:45:14,928 - DEBUG	 - 572	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:14,928 - DEBUG	 - 572	 - Worker	 - mosaic: 10/513 Match found at J:\Mosaic\database\survivor-2.png with a difference of 71
2017-01-17 14:45:15,077 - DEBUG	 - 6920	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:15,077 - DEBUG	 - 6920	 - Worker	 - mosaic: 10/540 Match found at J:\Mosaic\database\deadline-6.png with a difference of 40
2017-01-17 14:45:15,364 - DEBUG	 - 8040	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:15,364 - DEBUG	 - 8040	 - Worker	 - mosaic: 11/513 Match found at J:\Mosaic\database\santana-feat.-everlast-7.png with a difference of 33
2017-01-17 14:45:15,445 - DEBUG	 - 5400	 - Worker	 - get_match: Found 13 matches for tile.
2017-01-17 14:45:15,445 - DEBUG	 - 5400	 - Worker	 - mosaic: 11/540 Match found at J:\Mosaic\database\santana-feat.-everlast-7.png with a difference of 47
2017-01-17 14:45:15,445 - DEBUG	 - 572	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:15,445 - DEBUG	 - 572	 - Worker	 - mosaic: 11/513 Match found at J:\Mosaic\database\townes-van-zandt-4.png with a difference of 76
2017-01-17 14:45:15,604 - DEBUG	 - 6920	 - Worker	 - get_match: Found 5 matches for tile.
2017-01-17 14:45:15,604 - DEBUG	 - 6920	 - Worker	 - mosaic: 11/540 Match found at J:\Mosaic\database\the-beatles-44.png with a difference of 48
2017-01-17 14:45:15,877 - DEBUG	 - 8040	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:15,877 - DEBUG	 - 8040	 - Worker	 - mosaic: 12/513 Match found at J:\Mosaic\database\massive-attack-14.png with a difference of 38
2017-01-17 14:45:15,964 - DEBUG	 - 5400	 - Worker	 - get_match: Found 12 matches for tile.
2017-01-17 14:45:15,964 - DEBUG	 - 5400	 - Worker	 - mosaic: 12/540 Match found at J:\Mosaic\database\jimmy-barnes-feat.-inxs-9.png with a difference of 91
2017-01-17 14:45:15,983 - DEBUG	 - 572	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:15,983 - DEBUG	 - 572	 - Worker	 - mosaic: 12/513 Match found at J:\Mosaic\database\the-prodigy-17.png with a difference of 47
2017-01-17 14:45:16,136 - DEBUG	 - 6920	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:16,136 - DEBUG	 - 6920	 - Worker	 - mosaic: 12/540 Match found at J:\Mosaic\database\queen-1.png with a difference of 67
2017-01-17 14:45:16,388 - DEBUG	 - 8040	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:16,388 - DEBUG	 - 8040	 - Worker	 - mosaic: 13/513 Match found at J:\Mosaic\database\santana-feat.-everlast-7.png with a difference of 39
2017-01-17 14:45:16,479 - DEBUG	 - 5400	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:16,480 - DEBUG	 - 5400	 - Worker	 - mosaic: 13/540 Match found at J:\Mosaic\database\dream-theater-6.png with a difference of 58
2017-01-17 14:45:16,500 - DEBUG	 - 572	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:16,500 - DEBUG	 - 572	 - Worker	 - mosaic: 13/513 Match found at J:\Mosaic\database\cypress-hill-15.png with a difference of 60
2017-01-17 14:45:16,661 - DEBUG	 - 6920	 - Worker	 - get_match: Found 5 matches for tile.
2017-01-17 14:45:16,661 - DEBUG	 - 6920	 - Worker	 - mosaic: 13/540 Match found at J:\Mosaic\database\manfred-manns-earth-band-17.png with a difference of 76
2017-01-17 14:45:16,901 - DEBUG	 - 8040	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:16,901 - DEBUG	 - 8040	 - Worker	 - mosaic: 14/513 Match found at J:\Mosaic\database\survivor-2.png with a difference of 34
2017-01-17 14:45:17,000 - DEBUG	 - 5400	 - Worker	 - get_match: Found 12 matches for tile.
2017-01-17 14:45:17,001 - DEBUG	 - 5400	 - Worker	 - mosaic: 14/540 Match found at J:\Mosaic\database\bomb-the-bass-2.png with a difference of 51
2017-01-17 14:45:17,020 - DEBUG	 - 572	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:17,021 - DEBUG	 - 572	 - Worker	 - mosaic: 14/513 Match found at J:\Mosaic\database\coldplay-34.png with a difference of 45
2017-01-17 14:45:17,187 - DEBUG	 - 6920	 - Worker	 - get_match: Found 6 matches for tile.
2017-01-17 14:45:17,187 - DEBUG	 - 6920	 - Worker	 - mosaic: 14/540 Match found at J:\Mosaic\database\kanye-west-4.png with a difference of 69
2017-01-17 14:45:17,412 - DEBUG	 - 8040	 - Worker	 - get_match: Found 12 matches for tile.
2017-01-17 14:45:17,412 - DEBUG	 - 8040	 - Worker	 - mosaic: 15/513 Match found at J:\Mosaic\database\santana-feat.-everlast-7.png with a difference of 32
2017-01-17 14:45:17,514 - DEBUG	 - 5400	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:17,514 - DEBUG	 - 5400	 - Worker	 - mosaic: 15/540 Match found at J:\Mosaic\database\dead-kennedys-8.png with a difference of 49
2017-01-17 14:45:17,537 - DEBUG	 - 572	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:17,538 - DEBUG	 - 572	 - Worker	 - mosaic: 15/513 Match found at J:\Mosaic\database\kraftwerk-18.png with a difference of 61
2017-01-17 14:45:17,712 - DEBUG	 - 6920	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:17,712 - DEBUG	 - 6920	 - Worker	 - mosaic: 15/540 Match found at J:\Mosaic\database\earth-wind-&-fire-1.png with a difference of 36
2017-01-17 14:45:17,924 - DEBUG	 - 8040	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:17,924 - DEBUG	 - 8040	 - Worker	 - mosaic: 16/513 Match found at J:\Mosaic\database\massive-attack-14.png with a difference of 46
2017-01-17 14:45:18,028 - DEBUG	 - 5400	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:18,028 - DEBUG	 - 5400	 - Worker	 - mosaic: 16/540 Match found at J:\Mosaic\database\kings-of-leon-4.png with a difference of 25
2017-01-17 14:45:18,054 - DEBUG	 - 572	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:18,054 - DEBUG	 - 572	 - Worker	 - mosaic: 16/513 Match found at J:\Mosaic\database\coldplay-34.png with a difference of 48
2017-01-17 14:45:18,239 - DEBUG	 - 6920	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:18,239 - DEBUG	 - 6920	 - Worker	 - mosaic: 16/540 Match found at J:\Mosaic\database\きゃりーぱみゅぱみゅ-6.png with a difference of 54
2017-01-17 14:45:18,434 - DEBUG	 - 8040	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:18,434 - DEBUG	 - 8040	 - Worker	 - mosaic: 17/513 Match found at J:\Mosaic\database\santana-feat.-everlast-7.png with a difference of 43
2017-01-17 14:45:18,551 - DEBUG	 - 5400	 - Worker	 - get_match: Found 12 matches for tile.
2017-01-17 14:45:18,551 - DEBUG	 - 5400	 - Worker	 - mosaic: 17/540 Match found at J:\Mosaic\database\david-byrne-5.png with a difference of 46
2017-01-17 14:45:18,573 - DEBUG	 - 572	 - Worker	 - get_match: Found 12 matches for tile.
2017-01-17 14:45:18,573 - DEBUG	 - 572	 - Worker	 - mosaic: 17/513 Match found at J:\Mosaic\database\kraftwerk-18.png with a difference of 56
2017-01-17 14:45:18,769 - DEBUG	 - 6920	 - Worker	 - get_match: Found 12 matches for tile.
2017-01-17 14:45:18,769 - DEBUG	 - 6920	 - Worker	 - mosaic: 17/540 Match found at J:\Mosaic\database\sarah-mclachlan-13.png with a difference of 51
2017-01-17 14:45:18,945 - DEBUG	 - 8040	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:18,945 - DEBUG	 - 8040	 - Worker	 - mosaic: 18/513 Match found at J:\Mosaic\database\the-meteors-2.png with a difference of 43
2017-01-17 14:45:19,071 - DEBUG	 - 5400	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:19,071 - DEBUG	 - 5400	 - Worker	 - mosaic: 18/540 Match found at J:\Mosaic\database\jimmy-buffett-7.png with a difference of 29
2017-01-17 14:45:19,090 - DEBUG	 - 572	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:19,090 - DEBUG	 - 572	 - Worker	 - mosaic: 18/513 Match found at J:\Mosaic\database\coldplay-34.png with a difference of 43
2017-01-17 14:45:19,301 - DEBUG	 - 6920	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:19,301 - DEBUG	 - 6920	 - Worker	 - mosaic: 18/540 Match found at J:\Mosaic\database\sufjan-stevens-14.png with a difference of 37
2017-01-17 14:45:19,457 - DEBUG	 - 8040	 - Worker	 - get_match: Found 7 matches for tile.
